,id,text,date_extraction
0,1383949586826334212,@globoplay @rafakalimann_ ninguém pediu isso coloca logo a usurpadora no catálogo,2021-04-18 22:04:46.634032
1,1383949548708499457,@hallentlynn amiga no rave não tem globoplay 🥺,2021-04-18 22:04:46.634032
2,1383949443326611459,@evansftx amg mas no rave tem a opção globoplay? pq antes não tinha,2021-04-18 22:04:46.634032
3,1383949414197186561,Melhor pessoa desse bbb https://t.co/HaKu8sRLkX,2021-04-18 22:04:46.634032
4,1383949406836191237,"@globoplay Eu gostei, mas de fato achei que ele estava tendo convulsão 😅😅😅😅",2021-04-18 22:04:46.634032
5,1383949316419555335,"Nossa, como deve ser horrível ser hater do Gil do vigor 🤭✌🏻 https://t.co/RiVFO5Ltlc",2021-04-18 22:04:46.634032
6,1383949242562084877,não faz sentido algum minha globoplay não funcionar na tv,2021-04-18 22:04:46.634032
7,1383949219149451273,Estou aguardando pelos próximos episódios da série A corrida das vacinas produzido pela @globoplay,2021-04-18 22:04:46.634032
8,1383949162064998402,@globoplay quando poderei matar as saudades de O.C. UM ESTRANHO NO PARAÍSO?,2021-04-18 22:04:46.634032
9,1383949094515666946,"@hallentlynn se essa pessoa tbm tiver a globoplay, sim",2021-04-18 22:04:46.634032
10,1383949002995994632,@cadu_monteiroo Globoplay,2021-04-18 22:04:46.634032
11,1383948991755259913,Fala sério esse QR code aí do Deezer é a maior furada eu assino o globoplay mais entro no QR code pra cadastrar e não aparece nada da Globo sacanagem!. #bbb21,2021-04-18 22:04:46.634032
12,1383948908703805445,"gente, vocês sabem me dizer se tem como assistir uma série ao mesmo tempo com alguém na globoplay? tipo no rave?",2021-04-18 22:04:46.634032
13,1383948838000492546,O GIL &gt;&gt;&gt;&gt;&gt; 🗣🗣🗣🗣 https://t.co/vitHOewEwT,2021-04-18 22:04:46.634032
14,1383948765199953927,@globoplay Nunca tive tanta curtida na minha vida.,2021-04-18 22:04:46.634032
15,1383948707838664707,@annavoig_ Gi o globoplay funciona aí? É só se cadastrar que dá pra assistir ao vivaço,2021-04-18 22:04:46.634032
16,1383948670064726016,"1 Contra todos, tem no Globoplay",2021-04-18 22:04:46.634032
17,1383948621293391872,@rafakalimann_ @globoplay Parabens Rafa K 👏🏻👏🏻,2021-04-18 22:04:46.634032
18,1383948574707253259,"@globoplay agora por exemplo, estou tentando pular o anuncio, mas quando coloco o mouse para chegar no botão, sobe a lista de canais.",2021-04-18 22:04:46.634032
19,1383948502904958980,@joicemara Cancelei a Netflix pra assinar a Globoplay e foi a melhor escolha,2021-04-18 22:04:46.634032
20,1383948348810428420,@Mathcarvalhop Claro! Mas me segue lá no insta hein https://t.co/5cjNxV9Sb2 😉 @NetflixBrasil @globoplay @telecine https://t.co/5KQC4sVeJb,2021-04-18 22:04:46.634032
