,id,text,date_extraction
0,1368686087246409737,"@AnaClara_Barcel @bbb O bonde da falsidade (Caio, Sarah, Rodolfo e Gil) resolveu soltar todo o veneno em cima da Juliette! Acho que Gil ainda nao, mas é certeza que SARAH, CAIO E RODOLFO sao os novos viloes do BBB. Nao esqueçam daquela conversa do trio Lumena, Sarah e Gil na academia! Amnesia nao",2021-03-07 19:12:58.599442
1,1368686079512088576,@bbb gil campeão,2021-03-07 19:12:58.599442
2,1368686060016898049,"@suhccubuss @MMairarosa @bbb Mais aí tem um porém né? Juliette não sabe que Gil e Sarah estão com esses questionamentos sobre ela, então Juliette nesse ponto está sendo culpada sem nem saber o sentimento da Sarah e Gil, que não tem coragem de ir nela e conversar e por em pratos limpos.",2021-03-07 19:12:58.599442
3,1368686059274506243,@bbb Ela não deixa ele falar,2021-03-07 19:12:58.599442
4,1368686057483558916,@bbb BBB AO VIVO https://t.co/JKI5mYFLOn,2021-03-07 19:12:58.599442
5,1368686050336514049,"@ninahit1 @bbb Tá falando mais sobre a juliette do que do próprio fav, enfim, a obceção",2021-03-07 19:12:58.599442
6,1368686050114174976,"@bbb Eu passo pano pro Gil, pq realmente a Ju as vezes é difícil de entender o que ele quer dizer KKKKKKKKKKK mas ele deixa claro que ela é prioridade dele. Agora a Sarah, me decepcionou..",2021-03-07 19:12:58.599442
7,1368686049556316162,"@bbb Ela da umas patadas nele, sem necessidade. Eu hein!?",2021-03-07 19:12:58.599442
8,1368686038936416258,"@bbb 🤔

https://t.co/uYclToAd5H",2021-03-07 19:12:58.599442
9,1368686030069641220,"@Sakura21330032 @Josiane78472211 @bbb e onde que eu falei que ela não falou isso, amadx ????
apenas disse que: ARTHUR DISSE QUE NAO IA COLOCAR NINGUÉM, REPITO, NINGUÉM DO VIP NO MONSTRO PARA QUE NAO TENHA MAIS UMA BOCA NA XEPA!
independente de quem ele tivesse escolhido do vip, ele estaria se contradizendo",2021-03-07 19:12:58.599442
10,1368686026605133824,@boninho @NegociosGlobo @bbb Morri! @boninho muso,2021-03-07 19:12:58.599442
11,1368686024172437507,@porraduds @bbb Sonha,2021-03-07 19:12:58.599442
12,1368686012029956098,@Aleatoriahhh1 @vica_vx @bbb Ele gosta do Gil eu entendo defender ele por isso não respondo pra evitar discussão besta,2021-03-07 19:12:58.599442
13,1368686011635630087,"@mapodegalocha @maiasasz @bbb foi uma vez na cozinha da xepa, a karol tava imitando e tava ele e o fiuk se não me engano, logo nos primeiros dias",2021-03-07 19:12:58.599442
14,1368686000281681920,"@azrielawyer @tilinha81 @bbb Quero ver o que eles vão falar pra defende-la, quando a juliette for pro paredão falso e eles (sarah e sua turma) crescerem o ego mais ainda achando que a jú saiu..  kkkk",2021-03-07 19:12:58.599442
15,1368685995466588165,@tilinha81 @bbb Ontem SARAH foi abraçar a Juliete do Bairro e ela negou o abraço. Agora a Sarah tem que ficar com ela no MONSTRO kkkk fala serio,2021-03-07 19:12:58.599442
16,1368685984074895366,@ComEstudant @bbb se ela pode criticar o jogo dele ele tem o mesmo direito,2021-03-07 19:12:58.599442
17,1368685966815330307,@bbb amigo melhor falar tudo na cara da Juliette! ela fala na sua cara tenha essa liberdade também falar na cara dela mais falsidade não né,2021-03-07 19:12:58.599442
18,1368685953116700674,"@bbb Boa tarde gente, tem vídeo novo no canal o vídeo de hoje nos fizemos uma tag com algumas perguntas que nunca tivemos coragem de fazer um para o outro, está bem legal. Quem puder entrar e se inscrever no canal e deixar o like nos ajuda bastante.
https://t.co/i58rlD7GeG",2021-03-07 19:12:58.599442
19,1368685948184260611,@bbb Exatamente! Ela só conversa com quem não a contraria hahaha,2021-03-07 19:12:58.599442
20,1368685943318851587,"@Andrea_L_N @sullismmm @tilinha81 @bbb Chamei de falso pq isso pra mim é falsidade, pq se algo incômodo ele, oq custava chegar na menina e falar, agr ir no quarto do líder falar mal da menina pros Bastião e pra Vih? Isso é falsidade, gosto do Gil, sempre amei a amizade dele com a Ju.",2021-03-07 19:12:58.599442
21,1368685930324844546,@bbb Certíssimo,2021-03-07 19:12:58.599442
22,1368685925761495049,@LeoMelloBDM @bbb Tá certo. eu também to Puta. Mas de coração eu acredito que a Sarah só tá se perdendo mesmo. Eu acredito que ela gosta da Ju. Só por isso eu to falando.,2021-03-07 19:12:58.599442
23,1368685922078908422,@bbb Errado não tá,2021-03-07 19:12:58.599442
24,1368685915523211264,"@marlls1989 @MMairarosa @bbb E o problema de vcs e ser esquerda ,porq independente de quem ela vota nao quer dizer nada a lumena e akarol sao esquerda e nao tem a metade de carater que a sarah tem ,isso e um jogo nao e politica",2021-03-07 19:12:58.599442
25,1368685912511680515,@eufalomesmosim @bbb puxando coisa do passado pra justificar a toxina exarada pela tua fav lixo kkkkkkkk,2021-03-07 19:12:58.599442
26,1368685910976512005,"@bbb Gilberto Carla Diaz Caio  Fiuk  Lumena arthur  Big Brother Projota Rafael Portugal  juliette Lucas thais Rodolfo Camilla sarah  Viih Tube Pocah Tiago Boninho BBB Big Fone Paredão FECHADOS COM JULIETTE Grammy #GRAMMYs  #BBB21 #RedeBBB  
https://t.co/EraswKLtGP",2021-03-07 19:12:58.599442
27,1368685903347073025,"@j4piinhaa @nandabics @faahlso @bbb Eu sei que sim, mas independente de tudo, os três estão errados em relação a atitudes que vem tendo. Mas cada torcida decide fechar os olhos para esse detalhe...",2021-03-07 19:12:58.599442
28,1368685901661024258,@bbb É complicado viu,2021-03-07 19:12:58.599442
29,1368685901472235523,@bbb ele gritou com a Pocah e enfiou o dedo na cara dela,2021-03-07 19:12:58.599442
30,1368685900524314627,"@pague3leve2 @egirlfromrio @isabellasena @bbb Caio está fazendo um belo papel de cobra... Sendo falso e querendo que Sarah, Gil e até mesmo Rodolffo se virem contra a Juliette. Eles então começaram a pressionar ela e ela não é boba, tá cortando o mal pela raiz. Na minha opinião tá mais que certa.",2021-03-07 19:12:58.599442
31,1368685892337025024,"@MMairarosa @LeoMelloBDM @bbb Eu tbm acho que se gostam, mas ali estão os 3 falando só por trás... até com a vih tube ela falou deles, é foda, não defendo nenhum dos 3 nesse caso. Por que se eu falo com meu amigo do defeito dele, eu falo só pra ele tlgd.",2021-03-07 19:12:58.599442
32,1368685889472376833,"Boninhooooooo dá teus pulos para a Juliette tá na festa do Rodolffo, ela tem que sair na quarta do paredão fake, eles tem que dançarem um forrozinho!! @boninho  @bbb #bbb21 #bbbaovivo #redebbb #judolffo #rodette",2021-03-07 19:12:58.599442
